Recall,Precision
1.0,0.5
1.0,0.5057471264367817
1.0,0.5116279069767442
1.0,0.5176470588235295
1.0,0.5238095238095238
1.0,0.5301204819277109
1.0,0.5365853658536586
1.0,0.5432098765432098
1.0,0.55
1.0,0.5569620253164557
1.0,0.5641025641025641
1.0,0.5714285714285714
1.0,0.5789473684210527
1.0,0.5866666666666667
1.0,0.5945945945945946
1.0,0.6027397260273972
1.0,0.6111111111111112
1.0,0.6197183098591549
1.0,0.6285714285714286
1.0,0.6376811594202898
1.0,0.6470588235294118
1.0,0.6567164179104478
1.0,0.6666666666666666
1.0,0.676923076923077
1.0,0.6875
1.0,0.6984126984126984
1.0,0.7096774193548387
1.0,0.7213114754098361
1.0,0.7333333333333333
1.0,0.7457627118644068
1.0,0.7586206896551724
1.0,0.7719298245614035
1.0,0.7857142857142857
1.0,0.8
1.0,0.8148148148148148
1.0,0.8301886792452831
0.9772727272727273,0.8269230769230769
0.9772727272727273,0.8431372549019608
0.9772727272727273,0.86
0.9545454545454546,0.8571428571428571
0.9545454545454546,0.875
0.9545454545454546,0.8936170212765957
0.9318181818181818,0.8913043478260869
0.9318181818181818,0.9111111111111111
0.9090909090909091,0.9090909090909091
0.9090909090909091,0.9302325581395349
0.8863636363636364,0.9285714285714286
0.8636363636363636,0.926829268292683
0.8636363636363636,0.95
0.8409090909090909,0.9487179487179487
0.8181818181818182,0.9473684210526315
0.7954545454545454,0.9459459459459459
0.7727272727272727,0.9444444444444444
0.75,0.9428571428571428
0.75,0.9705882352941176
0.7272727272727273,0.9696969696969697
0.7045454545454546,0.96875
0.6818181818181818,0.967741935483871
0.6590909090909091,0.9666666666666667
0.6363636363636364,0.9655172413793104
0.6136363636363636,0.9642857142857143
0.5909090909090909,0.9629629629629629
0.5681818181818182,0.9615384615384616
0.5454545454545454,0.96
0.5227272727272727,0.9583333333333334
0.5227272727272727,1.0
0.5,1.0
0.4772727272727273,1.0
0.45454545454545453,1.0
0.4318181818181818,1.0
0.4090909090909091,1.0
0.38636363636363635,1.0
0.36363636363636365,1.0
0.3409090909090909,1.0
0.3181818181818182,1.0
0.29545454545454547,1.0
0.2727272727272727,1.0
0.25,1.0
0.22727272727272727,1.0
0.20454545454545456,1.0
0.18181818181818182,1.0
0.1590909090909091,1.0
0.13636363636363635,1.0
0.11363636363636363,1.0
0.09090909090909091,1.0
0.06818181818181818,1.0
0.045454545454545456,1.0
0.022727272727272728,1.0
0.0,1.0
